zeta,trade_off_alpha,trade_off_beta
-3.8933333333333333333333333333333333,0.99999741090049088514763926233249691,6.4034138150112539464859783538313526e-15
-3.88,0.99999713932848375762321166120696823,7.5468422700975040316994819021990416e-15
-3.8666666666666666666666666666666667,0.99999684061154593397950684473675942,8.8905857753186317673363897776869166e-15
-3.8533333333333333333333333333333333,0.99999651218129795202801836925611658,1.0469040806028640082459069873750871e-14
-3.84,0.99999615124139199247199741533901175,1.2322386793246453565275207738656664e-14
-3.8266666666666666666666666666666667,0.99999575474877346924389884577777136,1.4497536953194683214441135648817435e-14
-3.8133333333333333333333333333333333,0.99999531934053155386027099563363283,1.7049562744269430784738160400910127e-14
-3.8,0.99999484151916627015721658435410053,2.0041745489199777063813886443364005e-14
-3.7866666666666666666666666666666667,0.99999431732629879494528683205852956,2.3548829686393498086627804120467978e-14
-3.7733333333333333333333333333333333,0.99999374251525600299762300361219954,2.7657608131711767250045787559839276e-14
-3.76,0.99999311247608501899710958069173587,3.2469188099221645983668353129898225e-14
-3.7466666666666666666666666666666667,0.99999242220695263196736906612377247,3.810129832059238184256089386794048e-14
-3.7333333333333333333333333333333333,0.99999166628352099536099448265089852,4.4690958752970927536182224156854242e-14
-3.72,0.99999083872557071281266853170094888,5.2398536571845945707972943778519765e-14
-3.7066666666666666666666666666666667,0.99998993335492837458997493438398855,6.1407608375890013474632624098777852e-14
-3.6933333333333333333333333333333333,0.99998894318188395360181189269285439,7.1934430281303476029304800227549248e-14
-3.68,0.99998786074085919684734799455532934,8.4229272386334003386628652659010901e-14
-3.6666666666666666666666666666666667,0.99998667795576921585560866194288074,9.8582748436058604979879046085516602e-14
-3.6533333333333333333333333333333333,0.99998538609445917901468831767064007,1.1533216467100660800684929183384421e-13
-3.64,0.9999839757201277538549084780327804,1.3486884248736757514560552775458283e-13
-3.6266666666666666666666666666666667,0.99998243645272736748549609626124134,1.5764941654581198776087890020359868e-13
-3.6133333333333333333333333333333333,0.99998075764431161687259848613016829,1.8419460842587604325935545811333373e-13
-3.6,0.99997892724864900216988091558602873,2.1511622887338997134583218480015443e-13
-3.5866666666666666666666666666666667,0.99997693245824033987608185193805638,2.5111992388799338584570650051021055e-13
-3.5733333333333333333333333333333333,0.99997475946678894132577126660839475,2.9302246456054042935604778607614253e-13
-3.56,0.99997239339881454820396293942014523,3.4176881333183033653544315365497983e-13
-3.5466666666666666666666666666666667,0.99996981823494907425768145045354393,3.9845174181268371345931967446907063e-13
-3.5333333333333333333333333333333333,0.99996701639311815692700956287408519,4.643426200313227775040810259255331e-13
-3.52,0.99996396997328519746668027369219485,5.408856369860251327198582840749421e-13
-3.5066666666666666666666666666666667,0.9999606587173985390696586441454035,6.2977322076943953513596674061966806e-13
-3.4933333333333333333333333333333333,0.99995706118937429050031527258122187,7.3295073938454010077693210966886105e-13
-3.48,0.99995315436326826395756097809256535,8.526626907476484206232239699719375e-13
-3.4666666666666666666666666666666667,0.99994891351797635348638631096463346,9.914975083810878552225712560952859e-13
-3.4533333333333333333333333333333333,0.99994431156897064436419032577342338,1.1524590179030501391636084157963783e-12
-3.44,0.99993932113203190512634809375699948,1.3389479013086101022794635723204384e-12
-3.4266666666666666666666666666666667,0.99993391119441435280636334009509398,1.5549406491334880689299169710690073e-12
